Task,Model,Prompt Length,Quantization,Bites,Device
Question Answering,OpenChat-3.5-7B-GGUF,Short,Q5_K_M,5,flagship
Question Answering,OpenChat-3.5-7B-GGUF,Short,Q6_K,6,flagship
Question Answering,OpenChat-3.5-7B-GGUF,Medium,Q4_0,4,Low-range
Question Answering,OpenChat-3.5-7B-GGUF,Medium,Q4_K,4,Low-range
Question Answering,OpenChat-3.5-7B-GGUF,Medium,Q4_K_M,4,Mid-range
Question Answering,OpenChat-3.5-7B-GGUF,Medium,Q5_K,5,Mid-range
Question Answering,OpenChat-3.5-7B-GGUF,Medium,Q5_K_M,5,flagship
Question Answering,OpenChat-3.5-7B-GGUF,Medium,Q6_K,6,flagship
Question Answering,OpenChat-3.5-7B-GGUF,Long,Q4_0,4,Low-range
Question Answering,OpenChat-3.5-7B-GGUF,Long,Q4_K,4,Low-range
Question Answering,OpenChat-3.5-7B-GGUF,Long,Q4_K_M,4,Mid-range
Question Answering,OpenChat-3.5-7B-GGUF,Long,Q5_K,5,Mid-range
Question Answering,OpenChat-3.5-7B-GGUF,Long,Q5_K_M,5,flagship
Question Answering,OpenChat-3.5-7B-GGUF,Long,Q6_K,6,flagship
Question Answering,OpenChat-3.5-7B-GGUF,Short,Q4_0,4,Low-range
Question Answering,OpenChat-3.5-7B-GGUF,Short,Q4_K,4,Low-range
Question Answering,OpenChat-3.5-7B-GGUF,Short,Q4_K_M,4,Mid-range
Question Answering,OpenChat-3.5-7B-GGUF,Short,Q5_K,5,Mid-range
Question Answering,OpenChat-3.5-7B-GGUF,Short,Q5_K_M,5,flagship
Question Answering,OpenChat-3.5-7B-GGUF,Short,Q6_K,6,flagship
Question Answering,OpenChat-3.5-7B-GGUF,Medium,Q4_0,4,Low-range
Question Answering,OpenChat-3.5-7B-GGUF,Medium,Q4_K,4,Low-range
Question Answering,OpenChat-3.5-7B-GGUF,Medium,Q4_K_M,4,Mid-range
Question Answering,OpenChat-3.5-7B-GGUF,Medium,Q5_K,5,Mid-range
Question Answering,OpenChat-3.5-7B-GGUF,Medium,Q5_K_M,5,flagship
Question Answering,OpenChat-3.5-7B-GGUF,Medium,Q6_K,6,flagship
Question Answering,OpenChat-3.5-7B-GGUF,Long,Q4_0,4,Low-range
Question Answering,OpenChat-3.5-7B-GGUF,Long,Q4_K,4,Low-range
Question Answering,OpenChat-3.5-7B-GGUF,Long,Q4_K_M,4,Mid-range
Question Answering,OpenChat-3.5-7B-GGUF,Long,Q5_K,5,Mid-range
Question Answering,OpenChat-3.5-7B-GGUF,Long,Q5_K_M,5,flagship
Question Answering,OpenChat-3.5-7B-GGUF,Long,Q6_K,6,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q4_0,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q4_K,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q4_K_M,4,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q5_K,5,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q5_K_M,5,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q6_K,6,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q4_0,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q4_K,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q4_K_M,4,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q5_K,5,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q5_K_M,5,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q6_K,6,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q4_0,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q4_K,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q4_K_M,4,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q5_K,5,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q5_K_M,5,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q6_K,6,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q4_0,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q4_K,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q4_K_M,4,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q5_K,5,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q5_K_M,5,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q6_K,6,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q4_0,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q4_K,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q4_K_M,4,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q5_K,5,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q5_K_M,5,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q6_K,6,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q4_0,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q4_K,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q4_K_M,4,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q5_K,5,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q5_K_M,5,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q6_K,6,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q4_0,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q4_K,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q4_K_M,4,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q5_K,5,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q5_K_M,5,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q6_K,6,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q4_0,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q4_K,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q4_K_M,4,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q5_K,5,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q5_K_M,5,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q6_K,6,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q4_0,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q4_K,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q4_K_M,4,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q5_K,5,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q5_K_M,5,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q6_K,6,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q4_0,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q4_K,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q4_K_M,4,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q5_K,5,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q5_K_M,5,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Short,Q6_K,6,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q4_0,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q4_K,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q4_K_M,4,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q5_K,5,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q5_K_M,5,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Medium,Q6_K,6,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q4_0,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q4_K,4,Low-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q4_K_M,4,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q5_K,5,Mid-range
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q5_K_M,5,flagship
Question Answering,Mixtral-8x7B-Instruct-v0.1-GGUF,Long,Q6_K,6,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q4_0,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q4_K,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q4_K_M,4,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q5_K,5,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q5_K_M,5,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q6_K,6,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q4_0,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q4_K,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q4_K_M,4,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q5_K,5,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q5_K_M,5,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q6_K,6,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q4_0,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q4_K,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q4_K_M,4,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q5_K,5,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q5_K_M,5,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q6_K,6,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q4_0,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q4_K,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q4_K_M,4,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q5_K,5,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q5_K_M,5,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q6_K,6,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q4_0,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q4_K,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q4_K_M,4,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q5_K,5,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q5_K_M,5,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q6_K,6,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q4_0,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q4_K,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q4_K_M,4,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q5_K,5,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q5_K_M,5,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q6_K,6,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q4_0,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q4_K,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q4_K_M,4,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q5_K,5,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q5_K_M,5,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q6_K,6,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q4_0,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q4_K,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q4_K_M,4,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q5_K,5,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q5_K_M,5,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q6_K,6,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q4_0,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q4_K,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q4_K_M,4,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q5_K,5,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q5_K_M,5,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q6_K,6,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q4_0,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q4_K,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q4_K_M,4,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q5_K,5,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q5_K_M,5,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Short,Q6_K,6,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q4_0,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q4_K,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q4_K_M,4,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q5_K,5,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q5_K_M,5,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Medium,Q6_K,6,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q4_0,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q4_K,4,Low-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q4_K_M,4,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q5_K,5,Mid-range
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q5_K_M,5,flagship
Question Answering,LLaMA-3-8B-Instruct-GGUF,Long,Q6_K,6,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q4_0,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q4_K,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q4_K_M,4,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q5_K,5,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q5_K_M,5,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q6_K,6,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q4_0,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q4_K,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q4_K_M,4,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q5_K,5,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q5_K_M,5,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q6_K,6,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q4_0,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q4_K,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q4_K_M,4,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q5_K,5,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q5_K_M,5,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q6_K,6,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q4_0,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q4_K,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q4_K_M,4,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q5_K,5,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q5_K_M,5,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q6_K,6,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q4_0,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q4_K,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q4_K_M,4,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q5_K,5,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q5_K_M,5,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q6_K,6,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q4_0,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q4_K,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q4_K_M,4,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q5_K,5,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q5_K_M,5,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q6_K,6,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q4_0,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q4_K,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q4_K_M,4,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q5_K,5,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q5_K_M,5,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q6_K,6,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q4_0,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q4_K,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q4_K_M,4,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q5_K,5,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q5_K_M,5,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q6_K,6,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q4_0,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q4_K,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q4_K_M,4,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q5_K,5,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q5_K_M,5,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q6_K,6,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q4_0,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q4_K,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q4_K_M,4,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q5_K,5,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q5_K_M,5,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Short,Q6_K,6,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q4_0,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q4_K,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q4_K_M,4,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q5_K,5,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q5_K_M,5,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Medium,Q6_K,6,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q4_0,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q4_K,4,Low-range
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q4_K_M,4,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q5_K,5,Mid-range
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q5_K_M,5,flagship
Question Answering,DeepSeek-7B-Chat-GGUF,Long,Q6_K,6,flagship
Question Answering,Qwen-7B-Chat-GGUF,Short,Q4_0,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Short,Q4_K,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Short,Q4_K_M,4,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Short,Q5_K,5,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Short,Q5_K_M,5,flagship
Question Answering,Qwen-7B-Chat-GGUF,Short,Q6_K,6,flagship
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q4_0,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q4_K,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q4_K_M,4,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q5_K,5,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q5_K_M,5,flagship
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q6_K,6,flagship
Question Answering,Qwen-7B-Chat-GGUF,Long,Q4_0,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Long,Q4_K,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Long,Q4_K_M,4,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Long,Q5_K,5,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Long,Q5_K_M,5,flagship
Question Answering,Qwen-7B-Chat-GGUF,Long,Q6_K,6,flagship
Question Answering,Qwen-7B-Chat-GGUF,Short,Q4_0,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Short,Q4_K,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Short,Q4_K_M,4,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Short,Q5_K,5,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Short,Q5_K_M,5,flagship
Question Answering,Qwen-7B-Chat-GGUF,Short,Q6_K,6,flagship
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q4_0,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q4_K,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q4_K_M,4,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q5_K,5,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q5_K_M,5,flagship
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q6_K,6,flagship
Question Answering,Qwen-7B-Chat-GGUF,Long,Q4_0,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Long,Q4_K,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Long,Q4_K_M,4,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Long,Q5_K,5,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Long,Q5_K_M,5,flagship
Question Answering,Qwen-7B-Chat-GGUF,Long,Q6_K,6,flagship
Question Answering,Qwen-7B-Chat-GGUF,Short,Q4_0,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Short,Q4_K,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Short,Q4_K_M,4,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Short,Q5_K,5,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Short,Q5_K_M,5,flagship
Question Answering,Qwen-7B-Chat-GGUF,Short,Q6_K,6,flagship
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q4_0,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q4_K,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q4_K_M,4,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q5_K,5,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q5_K_M,5,flagship
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q6_K,6,flagship
Question Answering,Qwen-7B-Chat-GGUF,Long,Q4_0,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Long,Q4_K,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Long,Q4_K_M,4,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Long,Q5_K,5,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Long,Q5_K_M,5,flagship
Question Answering,Qwen-7B-Chat-GGUF,Long,Q6_K,6,flagship
Question Answering,Qwen-7B-Chat-GGUF,Short,Q4_0,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Short,Q4_K,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Short,Q4_K_M,4,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Short,Q5_K,5,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Short,Q5_K_M,5,flagship
Question Answering,Qwen-7B-Chat-GGUF,Short,Q6_K,6,flagship
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q4_0,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q4_K,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q4_K_M,4,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q5_K,5,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q5_K_M,5,flagship
Question Answering,Qwen-7B-Chat-GGUF,Medium,Q6_K,6,flagship
Question Answering,Qwen-7B-Chat-GGUF,Long,Q4_0,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Long,Q4_K,4,Low-range
Question Answering,Qwen-7B-Chat-GGUF,Long,Q4_K_M,4,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Long,Q5_K,5,Mid-range
Question Answering,Qwen-7B-Chat-GGUF,Long,Q5_K_M,5,flagship
Question Answering,Qwen-7B-Chat-GGUF,Long,Q6_K,6,flagship
Summarization,phi-2-GGUF,Short,Q4_0,4,Low-range
Summarization,phi-2-GGUF,Short,Q4_K,4,Low-range
